
* [玩具e哥 大道二店] coords: 121.5126656,25.0498812,0 | desc: 以公仔、盒玩、盲抽、一番賞為主
* [玩具e哥 土城裕民店] coords: 121.4510964,24.9863428,0 | desc: 以公仔、盒玩、盲抽、一番賞為主
* [玩具e哥 中和威力店] coords: 121.4957431,25.0018849,0 | desc: 以公仔、盒玩、盲抽、一番賞為主
* [玩具e哥 新店中央店] coords: 121.5297578,24.9726469,0 | desc: 以公仔、盒玩、盲抽、一番賞為主
* [玩具e哥 新店建國店] coords: 121.537751,24.9832794,0 | desc: 以公仔、盒玩、盲抽、一番賞為主
* [玩具e哥 文山忠順店] coords: 121.5631899,24.9845849,0 | desc: 以公仔、盒玩、盲抽、一番賞為主
* [玩具e哥 北門店] coords: 121.5102467,25.0495804,0 | desc: 
* [東海模型玩具-萬年總店] coords: 121.5058942,25.0435135,0 | desc: 
* [東海模型玩具-峨眉店] coords: 121.505753,25.044443,0 | desc: 
* [東海模型玩具-華山店] coords: 121.5286521,25.0407894,0 | desc: 
* [東海模型玩具-武昌誠品專櫃] coords: 121.5055717,25.0451617,0 | desc: 
* [Hobby World 台北DREAM PLAZA店] coords: 121.5658739,25.0397197,0 | desc: 外面有一整櫃的look up
* [南港環球Toy World] coords: 121.6071618,25.052946,0 | desc: lookup、公仔、一番賞
* [TOY WORLD] coords: 121.6148429,25.0586168,0 | desc: lookup、公仔、一番賞
* [TOYWORLD 美麗華店] coords: 121.5572884,25.0837065,0 | desc: 
* [TOY WORLD 三重佳瑪店] coords: 121.4969262,25.0667494,0 | desc: 
* [toyworld新莊佳瑪店] coords: 121.4478346,25.0490333,0 | desc: 
* [TOY WORLD 中和環球店] coords: 121.4750459,25.006641,0 | desc: 
* [Toyworld板橋環球] coords: 121.4636257,25.0141549,0 | desc: 

=== Layer 5: 臺灣動漫 (1 個地點) ===
* [臺灣漫畫基地 Taiwan Comic Base] coords: 121.5161359,25.0500376,0 | desc: 以臺灣作品為主，可以來朝聖看看

=== Layer 6: 想要逛街來這裡 (6 個地點) ===
* [西門地下街] coords:  | desc: 下雨時可以去的好地方
